date,station_id,station_name,river,basin,lat,lon,role,stage_m,discharge_m3s,precip_mm,temp_c,sediment_kgm3,area_m2,warn_stage_m,alert_stage_m,warn_q_m3s,alert_q_m3s
2022-01-23,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,242.6,0.0,-1.6,1.88,253.3,1515.5,1517.0,2500,4500
2022-01-24,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,252.05,0.07,0.2,2.08,262.5,1515.5,1517.0,2500,4500
2022-01-25,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,250.09,0.0,2.6,2.06,260.6,1515.5,1517.0,2500,4500
2022-01-26,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,240.65,0.0,-3.4,1.99,251.4,1515.5,1517.0,2500,4500
2022-01-27,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.63,212.32,0.0,-4.2,1.66,223.7,1515.5,1517.0,2500,4500
2022-01-28,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.62,201.57,1.4,-0.3,1.8,213.2,1515.5,1517.0,2500,4500
2022-01-29,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.6,186.92,1.61,-3.8,1.79,198.7,1515.5,1517.0,2500,4500
2022-01-30,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.58,163.15,0.0,-5.9,1.72,175.1,1515.5,1517.0,2500,4500
2022-01-31,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.56,141.65,0.0,-2.4,1.5,153.5,1515.5,1517.0,2500,4500
2022-02-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.58,156.63,0.0,-1.4,1.64,168.6,1515.5,1517.0,2500,4500
2022-02-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.58,161.19,0.0,1.1,1.62,173.1,1515.5,1517.0,2500,4500
2022-02-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.58,162.82,9.73,6.2,1.64,174.7,1515.5,1517.0,2500,4500
2022-02-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,260.19,18.13,9.6,2.19,270.4,1515.5,1517.0,2500,4500
2022-02-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.9,683.85,0.07,-1.2,3.56,667.0,1515.5,1517.0,2500,4500
2022-02-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.11,1289.55,0.0,-3.3,6.02,1209.1,1515.5,1517.0,2500,4500
2022-02-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.07,1149.52,1.82,0.9,5.74,1085.4,1515.5,1517.0,2500,4500
2022-02-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.95,823.88,1.68,1.6,4.12,794.2,1515.5,1517.0,2500,4500
2022-02-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.88,638.26,0.0,1.9,3.51,625.3,1515.5,1517.0,2500,4500
2022-02-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.82,524.29,0.07,6.9,3.11,520.2,1515.5,1517.0,2500,4500
2022-02-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.78,446.13,0.0,6.2,2.8,447.3,1515.5,1517.0,2500,4500
2022-02-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,400.54,0.0,11.2,2.46,404.4,1515.5,1517.0,2500,4500
2022-02-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,367.98,4.55,3.0,2.5,373.6,1515.5,1517.0,2500,4500
2022-02-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.72,338.67,0.0,-3.4,2.54,345.8,1515.5,1517.0,2500,4500
2022-02-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,317.5,0.0,-3.3,2.12,325.6,1515.5,1517.0,2500,4500
2022-02-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,295.03,0.0,1.1,2.31,304.0,1515.5,1517.0,2500,4500
2022-02-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,272.56,0.0,12.4,2.14,282.4,1515.5,1517.0,2500,4500
2022-02-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,256.61,1.75,11.0,2.0,266.9,1515.5,1517.0,2500,4500
2022-02-19,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,285.26,0.0,0.5,2.39,294.6,1515.5,1517.0,2500,4500
2022-02-20,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.8,472.18,0.0,-1.7,3.0,471.7,1515.5,1517.0,2500,4500
2022-02-21,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.82,508.0,0.0,6.4,2.85,505.0,1515.5,1517.0,2500,4500
2022-02-22,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.79,449.39,1.19,12.4,2.82,450.3,1515.5,1517.0,2500,4500
2022-02-23,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,397.28,0.21,16.6,2.68,401.4,1515.5,1517.0,2500,4500
2022-02-24,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,364.72,3.08,3.0,2.46,370.5,1515.5,1517.0,2500,4500
2022-02-25,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,387.52,12.18,3.6,2.66,392.1,1515.5,1517.0,2500,4500
2022-02-26,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,403.8,0.0,1.7,2.62,407.5,1515.5,1517.0,2500,4500
2022-02-27,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.81,504.75,0.0,3.5,3.12,502.0,1515.5,1517.0,2500,4500
2022-02-28,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.87,625.24,0.0,4.3,3.73,613.3,1515.5,1517.0,2500,4500
2022-03-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.85,569.88,0.0,4.1,3.16,562.4,1515.5,1517.0,2500,4500
2022-03-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.81,494.98,0.0,9.1,3.01,492.9,1515.5,1517.0,2500,4500
2022-03-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.78,439.62,0.0,8.8,2.7,441.2,1515.5,1517.0,2500,4500
2022-03-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,387.52,0.0,1.7,2.58,392.1,1515.5,1517.0,2500,4500
2022-03-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.73,348.44,0.0,5.0,2.27,355.1,1515.5,1517.0,2500,4500
2022-03-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,317.83,6.93,15.0,2.23,325.9,1515.5,1517.0,2500,4500
2022-03-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,289.17,2.94,18.6,2.17,298.4,1515.5,1517.0,2500,4500
2022-03-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,268.66,1.19,9.3,2.21,278.6,1515.5,1517.0,2500,4500
2022-03-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,266.05,10.71,5.7,2.22,276.1,1515.5,1517.0,2500,4500
2022-03-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,271.26,0.0,4.7,1.98,281.1,1515.5,1517.0,2500,4500
2022-03-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,286.24,0.0,7.4,2.09,295.5,1515.5,1517.0,2500,4500
2022-03-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,321.08,11.97,2.6,2.39,329.0,1515.5,1517.0,2500,4500
2022-03-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,325.64,0.0,-2.6,2.1,333.3,1515.5,1517.0,2500,4500
2022-03-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,313.92,0.0,5.3,2.23,322.1,1515.5,1517.0,2500,4500
2022-03-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,310.34,0.0,10.9,2.26,318.7,1515.5,1517.0,2500,4500
2022-03-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,315.22,0.0,12.4,2.43,323.4,1515.5,1517.0,2500,4500
2022-03-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,315.55,5.46,11.2,2.37,323.7,1515.5,1517.0,2500,4500
2022-03-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,313.59,0.0,13.7,2.25,321.8,1515.5,1517.0,2500,4500
2022-03-19,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,310.34,0.07,16.8,2.23,318.7,1515.5,1517.0,2500,4500
2022-03-20,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,309.36,0.77,11.8,2.24,317.8,1515.5,1517.0,2500,4500
2022-03-21,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,315.55,0.0,11.4,2.47,323.7,1515.5,1517.0,2500,4500
2022-03-22,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,293.73,0.0,11.5,2.16,302.8,1515.5,1517.0,2500,4500
2022-03-23,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,277.77,3.99,8.9,2.11,287.4,1515.5,1517.0,2500,4500
2022-03-24,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,276.8,14.84,14.0,2.18,286.4,1515.5,1517.0,2500,4500
2022-03-25,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,279.08,0.42,10.8,2.14,288.6,1515.5,1517.0,2500,4500
2022-03-26,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,274.19,0.63,8.2,2.11,283.9,1515.5,1517.0,2500,4500
2022-03-27,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,273.54,0.0,3.7,2.01,283.3,1515.5,1517.0,2500,4500
2022-03-28,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,289.17,0.07,-0.5,2.19,298.4,1515.5,1517.0,2500,4500
2022-03-29,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,273.87,0.0,-1.2,2.08,283.6,1515.5,1517.0,2500,4500
2022-03-30,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,255.63,0.07,4.7,2.18,266.0,1515.5,1517.0,2500,4500
2022-03-31,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.66,246.84,1.82,15.5,2.09,257.4,1515.5,1517.0,2500,4500
2022-04-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,261.82,4.48,11.6,2.08,272.0,1515.5,1517.0,2500,4500
2022-04-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,288.19,0.0,6.0,2.26,297.4,1515.5,1517.0,2500,4500
2022-04-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.72,335.41,0.28,9.2,2.33,342.7,1515.5,1517.0,2500,4500
2022-04-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,384.26,0.0,6.8,2.69,389.0,1515.5,1517.0,2500,4500
2022-04-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,364.72,5.95,8.4,2.48,370.5,1515.5,1517.0,2500,4500
2022-04-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.79,449.39,16.1,11.8,2.89,450.3,1515.5,1517.0,2500,4500
2022-04-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.82,514.52,15.82,10.5,2.86,511.1,1515.5,1517.0,2500,4500
2022-04-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.08,1195.11,0.7,10.6,5.77,1125.8,1515.5,1517.0,2500,4500
2022-04-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.17,1514.24,1.33,8.5,6.31,1405.9,1515.5,1517.0,2500,4500
2022-04-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.12,1325.37,0.0,7.3,5.54,1240.6,1515.5,1517.0,2500,4500
2022-04-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.03,1022.52,0.0,8.7,4.93,972.5,1515.5,1517.0,2500,4500
2022-04-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.95,817.37,0.98,15.6,4.03,788.3,1515.5,1517.0,2500,4500
2022-04-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.89,667.57,0.0,19.1,3.67,652.1,1515.5,1517.0,2500,4500
2022-04-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.84,563.36,1.54,21.5,3.61,556.3,1515.5,1517.0,2500,4500
2022-04-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.81,488.47,0.0,14.3,2.83,486.8,1515.5,1517.0,2500,4500
2022-04-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,429.85,0.07,17.8,2.65,432.0,1515.5,1517.0,2500,4500
2022-04-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,381.0,0.63,10.4,2.57,386.0,1515.5,1517.0,2500,4500
2022-04-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.72,345.18,5.88,5.5,2.47,352.0,1515.5,1517.0,2500,4500
2022-04-19,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,364.72,6.65,6.3,2.46,370.5,1515.5,1517.0,2500,4500
2022-04-20,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,397.28,0.0,7.6,2.58,401.4,1515.5,1517.0,2500,4500
2022-04-21,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,403.8,0.07,10.8,2.72,407.5,1515.5,1517.0,2500,4500
2022-04-22,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.78,436.36,0.0,15.8,2.83,438.1,1515.5,1517.0,2500,4500
2022-04-23,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,426.59,0.0,15.9,2.58,429.0,1515.5,1517.0,2500,4500
2022-04-24,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,420.08,0.0,17.7,2.68,422.8,1515.5,1517.0,2500,4500
2022-04-25,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,416.82,0.0,15.5,2.69,419.8,1515.5,1517.0,2500,4500
2022-04-26,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,397.28,2.45,14.8,2.47,401.4,1515.5,1517.0,2500,4500
2022-04-27,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,371.23,0.0,11.0,2.54,376.7,1515.5,1517.0,2500,4500
2022-04-28,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,328.9,0.0,6.9,2.24,336.4,1515.5,1517.0,2500,4500
2022-04-29,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,306.43,0.0,10.3,2.37,314.9,1515.5,1517.0,2500,4500
2022-04-30,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,296.34,0.0,12.3,2.24,305.3,1515.5,1517.0,2500,4500
2022-05-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,276.47,1.54,13.8,2.15,286.1,1515.5,1517.0,2500,4500
2022-05-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,266.38,1.82,17.8,2.04,276.4,1515.5,1517.0,2500,4500
2022-05-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,261.82,0.0,17.1,2.07,272.0,1515.5,1517.0,2500,4500
2022-05-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.73,348.44,3.08,16.9,2.18,355.1,1515.5,1517.0,2500,4500
2022-05-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,387.52,0.0,16.1,2.42,392.1,1515.5,1517.0,2500,4500
2022-05-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.89,661.06,16.17,14.0,3.68,646.2,1515.5,1517.0,2500,4500
2022-05-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.16,1458.88,23.8,9.8,5.97,1357.6,1515.5,1517.0,2500,4500
2022-05-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.53,3191.31,0.7,8.9,7.88,2835.2,1515.5,1517.0,2500,4500
2022-05-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.56,3321.56,0.0,11.6,6.9,2944.1,1515.5,1517.0,2500,4500
2022-05-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.29,1992.94,0.0,13.5,7.85,1820.2,1515.5,1517.0,2500,4500
2022-05-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.13,1348.16,0.0,15.7,5.99,1260.6,1515.5,1517.0,2500,4500
2022-05-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1511.03,1019.26,0.0,17.3,5.19,969.6,1515.5,1517.0,2500,4500
2022-05-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.95,817.37,11.97,18.2,4.25,788.3,1515.5,1517.0,2500,4500
2022-05-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.9,677.34,11.69,17.9,3.4,661.1,1515.5,1517.0,2500,4500
2022-05-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.85,582.9,0.98,19.5,3.53,574.4,1515.5,1517.0,2500,4500
2022-05-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.84,547.08,12.81,19.8,3.41,541.3,1515.5,1517.0,2500,4500
2022-05-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.83,540.57,0.0,19.5,3.15,535.3,1515.5,1517.0,2500,4500
2022-05-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.82,517.77,0.0,17.8,3.03,514.1,1515.5,1517.0,2500,4500
2022-05-19,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.8,478.7,2.59,20.2,2.9,477.7,1515.5,1517.0,2500,4500
2022-05-20,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.79,449.39,0.14,23.5,2.67,450.3,1515.5,1517.0,2500,4500
2022-05-21,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.76,410.31,0.35,28.3,2.8,413.6,1515.5,1517.0,2500,4500
2022-05-22,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.75,387.52,1.26,25.4,2.5,392.1,1515.5,1517.0,2500,4500
2022-05-23,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.8,472.18,1.68,19.0,2.89,471.7,1515.5,1517.0,2500,4500
2022-05-24,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,374.49,8.61,15.1,2.42,379.8,1515.5,1517.0,2500,4500
2022-05-25,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.71,328.9,0.14,16.0,2.27,336.4,1515.5,1517.0,2500,4500
2022-05-26,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.69,295.68,0.07,17.4,2.07,304.6,1515.5,1517.0,2500,4500
2022-05-27,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.68,287.22,2.38,19.9,2.32,296.5,1515.5,1517.0,2500,4500
2022-05-28,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,367.98,5.6,20.3,2.47,373.6,1515.5,1517.0,2500,4500
2022-05-29,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,367.98,0.0,20.9,2.61,373.6,1515.5,1517.0,2500,4500
2022-05-30,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,420.08,0.0,24.6,2.7,422.8,1515.5,1517.0,2500,4500
2022-05-31,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.77,420.08,0.0,26.9,2.6,422.8,1515.5,1517.0,2500,4500
2022-06-01,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.74,364.72,0.0,28.2,2.44,370.5,1515.5,1517.0,2500,4500
2022-06-02,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.72,332.16,7.56,25.8,2.29,339.6,1515.5,1517.0,2500,4500
2022-06-03,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.7,315.22,7.42,22.1,2.29,323.4,1515.5,1517.0,2500,4500
2022-06-04,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.67,268.66,0.0,22.1,2.07,278.6,1515.5,1517.0,2500,4500
2022-06-05,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.65,236.09,0.0,20.0,1.96,247.0,1515.5,1517.0,2500,4500
2022-06-06,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.63,210.69,0.0,20.4,1.76,222.1,1515.5,1517.0,2500,4500
2022-06-07,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.61,192.13,0.0,21.2,1.74,203.8,1515.5,1517.0,2500,4500
2022-06-08,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.61,187.57,5.81,22.0,1.95,199.3,1515.5,1517.0,2500,4500
2022-06-09,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.63,215.58,10.5,23.6,1.84,226.9,1515.5,1517.0,2500,4500
2022-06-10,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.6,181.71,0.0,21.2,1.68,193.5,1515.5,1517.0,2500,4500
2022-06-11,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.59,169.99,5.04,20.0,1.76,181.9,1515.5,1517.0,2500,4500
2022-06-12,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.61,187.9,2.94,20.0,1.93,199.7,1515.5,1517.0,2500,4500
2022-06-13,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.61,188.22,0.14,25.4,1.67,200.0,1515.5,1517.0,2500,4500
2022-06-14,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.6,182.36,8.96,23.9,1.76,194.2,1515.5,1517.0,2500,4500
2022-06-15,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.59,169.66,0.0,24.5,1.68,181.6,1515.5,1517.0,2500,4500
2022-06-16,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.58,162.17,0.42,24.5,1.55,174.1,1515.5,1517.0,2500,4500
2022-06-17,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.59,168.36,0.07,27.6,1.79,180.3,1515.5,1517.0,2500,4500
2022-06-18,YR-LZ,兰州,黄河,黄河干流,36.061,103.834,trunk,1510.57,154.03,0.0,22.5,1.67,166.0,1515.5,1517.0,2500,4500
